,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,last_review,calculated_host_listings_count,availability_365,price_per_minimum_night,review_rate_per_month,is_expensive
15682,12669490,The Oasis of Utica,16623502,Racquel,Brooklyn,East Flatbush,40,-73,Entire home/apt,2018-11-24,1,13,105.0,50.309999999999995,False
15683,12669603,Sunny Suite with Bath near Prospect Park,39185689,Cupid,Brooklyn,Prospect-Lefferts Gardens,40,-73,Private room,2019-07-02,1,176,11.666666666666666,3.7199999999999998,False
15684,12670809,Beautiful apartment in Williamsburg,55121,Alexandre,Brooklyn,Williamsburg,40,-73,Entire home/apt,2019-01-03,1,117,40.0,2.8000000000000003,False
15685,12670883,Entire private # in a privately own  brownstone,60981198,Cyrille,Brooklyn,Bedford-Stuyvesant,40,-73,Private room,2018-08-17,3,31,10.5,0.22,False
15687,12672036,CENTRAL PARK / COLUMBUS CIRCLE /1BR,1475015,Mike,Manhattan,Hell's Kitchen,40,-73,Entire home/apt,2018-05-30,52,365,2.9,0.12,False
15689,12674934,[Midtown NYC] Private room w/ private bathroom,17016231,June,Manhattan,Hell's Kitchen,40,-73,Private room,2016-05-30,1,0,69.0,0.65,False
15690,12675052,Large sunny apartment nr Gramercy,54130816,Stephanie,Manhattan,Kips Bay,40,-73,Entire home/apt,2016-05-18,1,0,37.5,0.1,False
15691,12675481,Perfect for couples visiting NYC,68250800,Anna,Manhattan,East Harlem,40,-73,Private room,2019-02-20,2,128,75.0,10.600000000000001,False
15694,12679172,Massive 2 Bed near Columbia Univ.,43733051,Hannah,Manhattan,Harlem,40,-73,Entire home/apt,2018-01-20,1,0,50.0,20.52,False
15695,12679291,Nice and quiet apt Bdway/Times Sq.,44530717,Vincent,Manhattan,Hell's Kitchen,40,-73,Entire home/apt,2016-05-30,1,0,37.333333333333336,0.03,False
15696,12680171,Near all shopping & transportation,68848703,Rupi,Queens,Forest Hills,40,-73,Private room,2019-05-16,2,363,59.5,11.969999999999999,False
15697,12681206,Very big room in Designed apt.15 mins to Manhattan,68909853,Belgin,Queens,Sunnyside,40,-73,Private room,2019-06-09,1,364,40.0,72.61,False
15700,12681868,NYC deluxe room 15 min to Manhattan,68907781,Dafni,Queens,Astoria,40,-73,Private room,2019-06-24,3,20,29.0,117.92,False
15701,12683452,Two Nice Private Rooms in Brooklyn!,14933972,Javier,Brooklyn,Bedford-Stuyvesant,40,-73,Private room,2016-10-11,3,12,64.0,0.24,False
15703,12684394,LUXURIOUS APT in MANHATTAN w TERRACE and GYM,49902290,Nikkita,Manhattan,Harlem,40,-73,Private room,2016-12-06,1,0,115.0,0.1,False
15706,12685533,Cute Room in Big Apt in Brooklyn,14933972,Javier,Brooklyn,Bedford-Stuyvesant,40,-73,Private room,2019-06-06,3,11,38.0,124.89,False
15707,12686241,Large Middle Bedroom & Private Backyard,30848788,Jamie,Brooklyn,Bedford-Stuyvesant,40,-73,Private room,2019-05-17,2,89,11.25,43.46,False
15708,12687169,Sunny bedroom in gorgeous ParkSlope,49024977,Shelby,Brooklyn,Park Slope,40,-73,Private room,2016-06-05,1,0,80.0,0.1,False
15709,12693458,Great room with INCREDIBLE view,65884381,Annie,Brooklyn,Williamsburg,40,-73,Private room,2016-09-10,1,0,75.0,1.33,False
15711,12698900,Room in the HEART of Williamsburg,8314626,Janine,Brooklyn,Williamsburg,40,-73,Private room,2019-06-22,1,303,89.0,563.88,False
15713,12700609,Doorman Gym W&D RoofDeck!5112,16098958,Jeremy & Laura,Manhattan,Upper West Side,40,-73,Entire home/apt,2017-07-31,96,104,6.566666666666666,0.12,False
15715,12703851,Large stylish Mid Century Duplex in Clinton Hill,11109705,Valeska,Brooklyn,Clinton Hill,40,-73,Entire home/apt,2019-05-07,1,0,25.714285714285715,7.800000000000001,False
15717,12705155,Spacious Gowanus Apt,69063239,Michael,Brooklyn,Gowanus,40,-73,Entire home/apt,2016-05-23,1,0,125.0,0.24,False
15718,12705303,SUNNY 1BR / 1B UES APT,3836868,Nina,Manhattan,Upper East Side,40,-73,Entire home/apt,2016-09-19,1,0,56.666666666666664,0.1,False
15719,12705519,Heights Haven,1372942,Drew,Manhattan,Washington Heights,40,-73,Entire home/apt,2017-06-24,1,0,6.0,0.8999999999999999,False
15720,12708671,2 bedroom  near Time Sq,51501835,Jeniffer,Manhattan,Hell's Kitchen,40,-73,Entire home/apt,2018-09-15,31,307,4.733333333333333,0.52,False
15721,12710376,Private Bedroom #5,66269338,Peggy,Queens,Jackson Heights,40,-73,Private room,2019-05-20,4,300,60.0,5.6000000000000005,False
15722,12710904,Separate Bedroom on UES - 1 person,59215698,Daniela,Manhattan,Upper East Side,40,-73,Private room,2018-09-22,2,241,49.0,1.68,False
15723,12711153,Comfortable Private Room w/ 1 Full Bed,65809485,Shirley,Queens,Flushing,40,-73,Private room,2019-06-03,12,323,2.857142857142857,294.25,False
15724,12711232,Private Room In Hamilton Heights,45941973,Sigal,Manhattan,Harlem,40,-73,Private room,2017-11-06,1,0,59.0,0.24,False
15725,12711351,Cozy Private Room w/ 1 Queen Bed,65809485,Shirley,Queens,Flushing,40,-73,Private room,2019-04-29,12,105,5.714285714285714,278.46,False
15726,12713090,Beautiful West Village Apartment,23919461,Cesar,Manhattan,West Village,40,-74,Entire home/apt,2019-05-27,2,18,83.33333333333333,23.1,False
15727,12713289,Private Bed and Bath for Two!,25076118,Janet,Brooklyn,Sunset Park,40,-74,Private room,2016-09-18,1,0,26.666666666666668,0.44,False
15728,12713863,Private Bedroom #2,66269338,Peggy,Queens,Jackson Heights,40,-73,Private room,2018-07-26,4,345,50.0,127.4,False
15729,12713950,Comfortable Room Near Columbia U,69124785,Yutian,Manhattan,Morningside Heights,40,-73,Private room,2016-08-13,1,0,7.142857142857143,0.1,False
15730,12713995,Private Full Size Bed #4,66269338,Peggy,Queens,Jackson Heights,40,-73,Private room,2019-06-12,4,329,65.0,64.19,False
15731,12714891,"Cozy 1BD w Private Terrace, Walk to Museums & Park",69131589,Zhenya And Lenka,Manhattan,Upper East Side,40,-73,Entire home/apt,2016-11-10,1,0,4.666666666666667,0.96,False
15732,12720048,NE..Comfortable Room All Inclusive,68787921,Hurriyet Aydın /,Brooklyn,Bedford-Stuyvesant,40,-73,Private room,2019-05-12,4,258,15.666666666666666,29.12,False
15733,12723066,NYC 2 BDRM Apt. Apt. 3A,17770287,Nina,Manhattan,Midtown,40,-73,Entire home/apt,2019-05-17,14,332,6.133333333333334,2.25,False
15734,12725523,Top Floor Newly Renovated 1-Bedroom,6472334,Matthew,Brooklyn,Williamsburg,40,-73,Entire home/apt,2016-11-28,2,0,34.75,3.7199999999999998,False
15735,12726907,Sunny Williamsburg apartment,4658415,Michael,Brooklyn,Williamsburg,40,-73,Entire home/apt,2018-07-29,1,0,57.0,0.65,False
15738,12728514,1 Bedroom in a 4 Bedroom Apartment,69210611,Corey,Manhattan,Harlem,40,-73,Private room,2016-05-31,1,0,50.0,0.03,False
15739,12730083,Elegant 2 Bdrm Apt W/ Add. 2 Rms on Lower Level,15089968,Anna,Queens,Richmond Hill,40,-73,Entire home/apt,2019-01-01,2,189,83.33333333333333,41.6,False
15740,12730434,"Bright, airy apartment in Brooklyn",19710054,Leah,Brooklyn,Bedford-Stuyvesant,40,-73,Entire home/apt,2017-08-08,1,0,62.5,0.7000000000000001,False
15741,12730600,Garden View Room Available,3673451,Nikki,Brooklyn,Williamsburg,40,-73,Private room,2018-12-31,2,0,16.666666666666668,0.63,False
15742,12731689,Flatiron NYC 1 Bed/1 Bath Apt!,1911171,Justin,Manhattan,Midtown,40,-73,Entire home/apt,2019-06-17,1,37,60.0,92.04,False
15743,12732671,"Sunny Room in Flatlands, Brooklyn!",69236458,Monique Ngozi,Brooklyn,Flatlands,40,-73,Private room,2018-09-11,1,346,12.0,0.48,False
15744,12733430,Bright & Spacious Studio,10777637,Andrea,Brooklyn,Williamsburg,40,-73,Entire home/apt,2016-09-26,1,0,160.0,2.16,False
15745,12733742,Cozy room in Manhattan Morningside,69243005,Jen,Manhattan,Harlem,40,-73,Private room,2016-06-14,2,0,15.0,0.03,False
15749,12735969,Furnished FUNky room in artist loft,2711820,Adam,Brooklyn,Bedford-Stuyvesant,40,-73,Private room,2016-05-17,1,0,7.142857142857143,0.1,False
15750,12735986,Spacious Studio 15 min to Manhattan,69258420,Arturo,Queens,Astoria,40,-73,Entire home/apt,2019-05-26,1,363,27.0,8.459999999999999,False
15751,12736761,Comfortable and cozy Apartment in Manhattan,50601037,Monika,Manhattan,Harlem,40,-73,Entire home/apt,2019-06-10,1,175,86.33333333333333,86.07000000000001,False
15753,12737335,Room for two in NYC!,69267322,Jacob,Manhattan,Washington Heights,40,-73,Private room,2016-06-04,1,0,60.0,0.03,False
15754,12737660,Large and sunny BR Bushwick,69269694,Mickael,Brooklyn,Williamsburg,40,-73,Private room,2016-08-23,1,0,23.333333333333332,0.24,False
15755,12737915,Artist Loft East Williamsburg,15019621,Kennedy,Brooklyn,Williamsburg,40,-73,Private room,2016-05-11,1,0,99.0,0.1,False
15757,12738346,Lightfull and Quiet apartment 15 min to Manhattan.,69274944,Dimitris,Queens,Astoria,40,-73,Entire home/apt,2019-06-09,1,53,63.333333333333336,27.2,False
15758,12738473,Large Modern Studio Apartment UES,69276225,Amanda,Manhattan,Upper East Side,40,-73,Entire home/apt,2016-08-17,1,0,8.214285714285714,0.03,False
15759,12738790,Bright & Spacious E. Village 1 Bdrm,18351258,Michael,Manhattan,East Village,40,-73,Entire home/apt,2018-05-13,1,0,125.0,22.04,False
15760,12740226,Cozy room in heart of Williamsburg,3038856,Samir,Brooklyn,Williamsburg,40,-73,Private room,2018-05-28,3,0,70.0,2.16,False
15761,12740726,Gorgeous new apartment with amazing views,11526146,Nick,Brooklyn,Williamsburg,40,-73,Entire home/apt,2018-12-02,1,0,75.0,16.15,False
15762,12744759,Private bedroom in Crown Heights!,38557313,Charlötte,Brooklyn,Crown Heights,40,-73,Private room,2016-05-31,1,0,6.2,0.03,False
15763,12747434,NW..Comfortable Room All Inclusive,68787921,Hurriyet Aydın /,Brooklyn,Bedford-Stuyvesant,40,-73,Private room,2019-04-15,4,236,20.0,39.78,False
15764,12747935,S...Comfortable Room All Inclusive,68787921,Hurriyet Aydın /,Brooklyn,Bedford-Stuyvesant,40,-73,Private room,2019-05-10,4,212,12.333333333333334,42.400000000000006,False
15765,12749145,Bright & Spacious Studio Apartment,2838615,Matt,Brooklyn,Williamsburg,40,-73,Entire home/apt,2018-01-02,1,0,79.66666666666667,0.65,False
15766,12749156,Your Hudson Heights Hideaway ◔‿◔,69189948,Ella,Manhattan,Washington Heights,40,-73,Private room,2019-07-07,3,310,37.5,768.1999999999999,False
15767,12751037,"Large, Private Bedroom near Union Square.",69355658,K,Manhattan,Gramercy,40,-73,Private room,2019-06-23,1,0,30.0,13.799999999999999,False
15768,12751471,Cozy 'n Quiet Upper Manhattan Room,4497670,Michael,Manhattan,Inwood,40,-73,Private room,2016-08-07,1,0,6.571428571428571,0.03,False
15771,12753434,Entire Times Square 1BD Apartment,4549084,Judy,Manhattan,Hell's Kitchen,40,-73,Entire home/apt,2019-06-28,1,14,58.333333333333336,96.16999999999999,False
15773,12755138,DSGN  Doorman One Bedroom 5186,16098958,Jeremy & Laura,Manhattan,Financial District,40,-74,Entire home/apt,2016-08-13,96,335,5.166666666666667,0.03,False
15774,12755571,Studio in the heart of Manhattan,69384130,Nina,Manhattan,Midtown,40,-73,Entire home/apt,2016-05-13,1,0,143.0,0.03,False
15776,12758216,Sunlit Studio on UWS!,68388626,Amanda,Manhattan,Upper West Side,40,-73,Entire home/apt,2016-08-22,1,0,60.0,0.44,False
15777,12759453,The Clean Comfortable Modern Lounge,48671504,Albert,Queens,Cambria Heights,40,-73,Entire home/apt,2019-06-24,1,331,39.5,211.5,False
15778,12760088,Modern Apartment. Central Park. B/C,52630170,Flora,Manhattan,Harlem,40,-73,Private room,2016-05-23,1,0,16.666666666666668,0.1,False
15779,12761910,3BR Queens (3rd fl)- 20 min to Manhattan,69427329,Michelle & Eddie,Queens,Elmhurst,40,-73,Private room,2019-06-27,6,280,144.5,343.85,False
15780,12762497,Spacious Town House near Park,11811612,Heather,Brooklyn,Flatbush,40,-73,Entire home/apt,2018-09-06,1,0,4.133333333333334,1.33,False
15781,12763008,Spacious Master Bedroom  20 mins away from NYC,69433039,Jason,Queens,Sunnyside,40,-73,Private room,2019-05-27,1,125,8.5,19.169999999999998,False
15783,12763721,"Comfortable, clean and inviting.",69435907,Ranny,Brooklyn,East Flatbush,40,-73,Private room,2019-07-07,1,92,25.0,575.14,False
15784,12764005,Brand New Clean and Sunny one bed!,7465850,Flower,Brooklyn,Bushwick,40,-73,Entire home/apt,2019-06-24,1,243,30.0,49.449999999999996,False
15785,12764378,Brooklyn Suite,69255438,Mark,Brooklyn,Crown Heights,40,-73,Entire home/apt,2016-05-23,1,0,180.0,0.03,False
15786,12764482,Times Square | Furnished | Apartment & Bedroom,69446151,Jinsoon,Manhattan,Hell's Kitchen,40,-73,Entire home/apt,2018-03-28,1,0,18.0,0.06,False
15789,12772942,Huge and cozy bedroom in the heart of Williamsburg,4979093,Nicole,Brooklyn,Williamsburg,40,-73,Private room,2018-01-02,1,0,30.0,0.05,False
15790,12772993,Penn Station / Chelsea North room,37521233,Jay,Manhattan,Chelsea,40,-73,Private room,2016-11-26,1,0,27.5,0.65,False
15791,12774144,Private big room/Queen bed/Nice Apt,65621401,Robert,Queens,Ditmars Steinway,40,-73,Private room,2019-06-07,1,341,49.0,1.26,False
15792,12774249,Uptown Bohemian 1BR with Park View,20892338,Elisse,Manhattan,Harlem,40,-73,Entire home/apt,2016-05-30,1,0,52.5,0.24,False
15793,12774885,"Spacious, cozy bedroom in a private home",69507287,Sarah,Bronx,Wakefield,40,-73,Private room,2019-07-01,1,338,40.0,605.51,False
15795,12775106,Apartment NYC - 10 to 20 June,1722054,Cristian,Queens,Long Island City,40,-73,Entire home/apt,2016-06-19,1,0,24.0,0.03,False
15796,12776694,Private Bedroom in the East Village,50533072,Kate,Manhattan,East Village,40,-73,Private room,2016-07-27,1,0,90.0,0.24,False
15797,12778383,Full 1 BR apartment in East Williamsburg/Bushwick,6513527,Blase,Brooklyn,Williamsburg,40,-73,Entire home/apt,2018-05-08,1,0,18.333333333333332,0.6,False
15798,12778678,East Midtown Modern Alcove Studio 3,45595980,Tny,Manhattan,Midtown,40,-73,Entire home/apt,2018-12-23,12,290,4.666666666666667,0.75,False
15799,12780475,Sunny Spacious Apt in Astoria w/ back yard access,48154615,Kasey,Queens,Astoria,40,-73,Entire home/apt,2019-06-25,1,345,41.666666666666664,12.18,False
15800,12780595,Luxury White Glove Apartment 57th St and Broadway,69545387,Marion,Manhattan,Midtown,40,-73,Entire home/apt,2018-08-26,1,159,6.785714285714286,0.39,False
15802,12781270,Nice and cozy little apt available,69548489,Alba,Bronx,Pelham Gardens,40,-73,Entire home/apt,2019-07-06,1,265,37.5,225.4,False
15803,12782370,2 bed Apartment close to Times Sq,280830,George,Manhattan,Hell's Kitchen,40,-73,Entire home/apt,2019-07-01,1,282,122.0,804.32,False
15804,12783632,NYC Mini Hotel,57230304,Imanuelly,Queens,Elmhurst,40,-73,Private room,2019-05-26,3,351,75.0,1.84,False
15805,12786165,Cozy Private room in Chelsea !,69598657,Vh,Manhattan,Chelsea,40,-73,Private room,2019-06-23,1,37,37.5,343.85,False
15806,12788962,WE'RE HOME TOTO! WE ARE HOME!,390251,Lilly,Manhattan,Harlem,40,-73,Private room,2019-04-08,4,15,52.5,1.7999999999999998,False
15807,12791778,Newly renovated williamsburg bedroom near subway,17239096,David,Brooklyn,Williamsburg,40,-73,Private room,2018-02-19,1,0,50.0,1.6800000000000002,False
15808,12792132,Gramercy Studio,29859280,Denise,Manhattan,Gramercy,40,-73,Entire home/apt,2019-06-02,1,26,75.0,4.42,False
15810,12794520,"Single bedroom, Manhattan",69677082,James,Manhattan,Washington Heights,40,-73,Private room,2016-05-16,1,0,11.666666666666666,0.24,False
15811,12794791,PRIVATE ROON IN NEW YORK MANHATTAN,11725608,Juan,Manhattan,Washington Heights,40,-73,Private room,2019-07-01,2,313,17.0,121.04,False
15812,12795006,"large studio ,private bathroom and own entrance",64350843,Diane,Manhattan,Upper East Side,40,-73,Private room,2019-06-29,1,29,7.5,1.33,False
15813,12795109,Charming Pr Room in E. Williamsburg,59375053,Jacqueline,Brooklyn,Williamsburg,40,-73,Private room,2016-05-29,1,0,40.0,0.1,False
15814,12795290,Room in East Village,4929873,Larissa,Manhattan,East Village,40,-73,Private room,2019-06-23,1,294,28.0,687.86,False
15815,12795851,Clean & Spacious Bushwick Loft (front),21467726,Tyler,Brooklyn,Williamsburg,40,-73,Private room,2019-04-14,2,281,70.0,2.9,False
15816,12796602,COZY STUDIO  in BROOKLYN,66978896,Viviana,Brooklyn,Bushwick,40,-73,Entire home/apt,2019-07-05,2,206,23.333333333333332,17.42,False
15818,12797047,Cute little Studio in East Village/Alphabet City,67311188,Viola,Manhattan,East Village,40,-73,Entire home/apt,2017-08-12,1,0,30.0,0.04,False
15820,12797920,Large Bedroom near Subway,69715276,Yan,Manhattan,Upper West Side,40,-73,Private room,2016-07-31,2,0,100.0,0.03,False
15821,12798141,Cute private room in great location!,3231109,Trish,Manhattan,Morningside Heights,40,-73,Private room,2019-07-03,2,142,28.333333333333332,7.47,False
15822,12804309,Danish Modern in Brownstone,21221697,Devon,Brooklyn,Clinton Hill,40,-73,Entire home/apt,2019-06-22,1,122,75.0,235.6,False
15823,12804693,Quiet bedroom on St Marks,69782291,Karen,Manhattan,East Village,40,-73,Private room,2017-09-23,1,0,24.0,4.42,False
15824,12805625,"Sunny, modern apartment in Lower East Side",5826163,Ayesha,Manhattan,Lower East Side,40,-73,Private room,2019-04-28,1,90,22.5,0.42,False
15825,12806016,Ditmas Park Beauty,69794747,Anna,Brooklyn,Flatbush,40,-73,Entire home/apt,2019-06-22,1,209,58.333333333333336,240.0,False
15826,12806177,Acogedora  habitación en el corazón de Manhattan,66469868,Zoraida,Manhattan,Washington Heights,40,-73,Private room,2019-06-23,1,72,32.5,55.199999999999996,False
15827,12806356,"Elegant/Classy Artist Loft, 2 Priv bdms/CLEAN",8416362,Margaret,Queens,Long Island City,40,-73,Entire home/apt,2018-12-16,1,42,12.380952380952381,7.82,False
15828,12806940,Huge New 1700sf Brownstone Duplex,1672734,Larry,Brooklyn,Bedford-Stuyvesant,40,-73,Entire home/apt,2019-07-01,1,1,112.5,28.05,False
15829,12807447,BrownBrick in Park Slope Brownstone,42413378,Hilal & Maryam,Brooklyn,South Slope,40,-73,Entire home/apt,2019-06-21,2,91,45.0,568.3199999999999,False
15831,12810210,Sun Drenched Studio,140226,An,Brooklyn,Williamsburg,40,-73,Entire home/apt,2019-06-23,1,225,65.0,15.41,False
15832,12810452,Charming 1BR in heart of Chinatown,15867885,Marielle,Manhattan,Two Bridges,40,-73,Private room,2016-06-26,1,0,49.5,0.24,False
15833,12811459,Superhost-Designer Legal 4 Bed Townhouse Midtown 2,69852641,Lisa,Manhattan,Hell's Kitchen,40,-73,Entire home/apt,2019-05-30,3,274,500.0,17.04,False
15834,12812370,Newly updated studio with luxury charm,9631746,Charese,Manhattan,Hell's Kitchen,40,-73,Entire home/apt,2019-04-03,1,10,7.08,13.65,False
15836,12812544,High SkyView  W&D GYM Doorman 5180,16098958,Jeremy & Laura,Manhattan,Upper East Side,40,-73,Entire home/apt,2017-10-04,96,330,6.333333333333333,0.24,False
15837,12812577,Superhost-Pristine 4 Bed Legal Townhouse Midtown 1,69852641,Lisa,Manhattan,Hell's Kitchen,40,-73,Entire home/apt,2019-06-09,3,240,500.0,16.099999999999998,False
15838,12812618,Private room in Williamsburg,25233652,Mari,Brooklyn,Williamsburg,40,-73,Private room,2018-01-01,1,0,40.0,0.96,False
15839,12812630,Private Room rent temporary stay,69866168,Munnesa,Queens,Jamaica,40,-73,Private room,2017-07-30,1,98,60.0,309.56,False
15840,12813050,Family Friendly Gramercy Park Gem,30789837,Shane,Manhattan,Gramercy,40,-73,Entire home/apt,2016-05-13,1,0,39.0,0.03,False
15841,12813068,NEW NICE CLEAN & COZY PRIVATE ROOM,21091779,Caroline,Brooklyn,Bedford-Stuyvesant,40,-73,Private room,2019-06-30,3,293,60.0,278.72,False
15842,12813206,Sunny Apartment Across from Sunset Park,7609268,Zoey,Brooklyn,Sunset Park,40,-74,Entire home/apt,2019-06-30,1,12,33.0,18.25,False
15844,12814578,Colorful Brooklyn Garden Casita,40332331,Joyce,Brooklyn,Windsor Terrace,40,-73,Entire home/apt,2019-07-08,2,262,62.5,360.36,False
15845,12814685,"Great location in NYC, clean, quiet and cozy",69890625,Grace,Brooklyn,Clinton Hill,40,-73,Private room,2019-05-14,1,179,89.0,6.45,False
15846,12814717,Big and cozy room,69891208,Anna,Manhattan,Washington Heights,40,-73,Private room,2017-08-25,1,0,18.333333333333332,0.7000000000000001,False
15847,12814991,"NYC Sanctuary, Skyline Views & Rooftop",34034047,Cory,Queens,Ditmars Steinway,40,-73,Entire home/apt,2019-07-07,1,11,43.333333333333336,7.65,False
15848,12814997,Sunny room with a/c in new building,13007287,Brandon,Brooklyn,Bedford-Stuyvesant,40,-73,Private room,2017-06-23,1,0,23.333333333333332,34.199999999999996,False
15849,12815139,Beautiful Tranquil Bright Prime Location 1 bedroom,33816358,Rachel,Brooklyn,Prospect Heights,40,-73,Entire home/apt,2017-05-22,1,0,36.666666666666664,1.84,False
15850,12821417,"Private, Sunny Room in East Village",69944410,Michelle,Manhattan,East Village,40,-73,Private room,2016-05-04,1,0,14.285714285714286,0.03,False
15852,12825700,Comfortable Chelsea Oasis,5346314,Saskia,Manhattan,Chelsea,40,-73,Entire home/apt,2016-07-04,1,0,65.0,0.03,False
15853,12826965,Cozy Bright Private Room in NY (Only for female),69989416,Sammie,Queens,Flushing,40,-73,Private room,2019-04-21,1,64,7.5,75.05999999999999,False
15855,12827146,"Cozy One Bedroom Apartment in Astoria, NYC",18922352,Israel,Queens,Astoria,40,-73,Entire home/apt,2017-10-11,1,0,17.0,3.41,False
15856,12827921,Spacious LES Room& Private Backyard,13023370,Andrew,Manhattan,Lower East Side,40,-73,Private room,2016-09-06,1,0,90.0,0.96,False
15857,12828338,Cozy Chic Harlem Apartment,7159107,Carly,Manhattan,Harlem,40,-73,Entire home/apt,2018-03-14,1,0,28.333333333333332,0.06,False
15858,12829063,Large & Unique multi Rooms Loft close to all,28303435,Ohad,Brooklyn,Prospect Heights,40,-73,Entire home/apt,2019-05-27,1,232,200.0,48.589999999999996,False
15860,12830905,Spacious East Village Bedroom,70026602,Kathryn,Manhattan,East Village,40,-73,Private room,2017-03-16,1,0,75.0,8.459999999999999,False
15862,12831310,"Cozy bedroom, awesome East Village apartment!",70030943,Carolyn,Manhattan,East Village,40,-73,Private room,2016-07-06,1,0,60.0,0.1,False
15863,12832062,The Yellow Bungalow of Rockaway Beach,1106731,Alexander,Queens,Rockaway Beach,40,-73,Entire home/apt,2019-06-21,2,0,67.5,19.439999999999998,False
15864,12832227,Sunny Bedroom + Private Living Room,70039705,Nathan,Manhattan,Upper West Side,40,-73,Private room,2016-08-14,1,0,100.0,0.65,False
15865,12832371,"East 74th street, Cozy UES 1bd Serviced Apartment",22541573,Ken,Manhattan,Upper East Side,40,-73,Entire home/apt,2017-10-14,87,350,5.433333333333334,0.05,False
15866,12832899,"East 63rd street, Studio Serviced Apartment",22541573,Ken,Manhattan,Upper East Side,40,-73,Entire home/apt,2017-10-31,87,287,6.233333333333333,0.18,False
15867,12833187,East 63rd street 1bd Serviced Apartment,22541573,Ken,Manhattan,Upper East Side,40,-73,Entire home/apt,2017-12-27,87,365,7.5,0.05,False
15868,12834317,Private 1 Bedroom Garden Level Apt,3404004,Diana,Brooklyn,Brooklyn Heights,40,-73,Entire home/apt,2016-05-09,1,0,120.0,0.03,False
15869,12834386,Awesome spacious room by the park,1216362,Camila,Brooklyn,Flatbush,40,-73,Private room,2018-11-01,4,188,73.0,58.910000000000004,False
15870,12834748,A bay window on Brooklyn,10273704,Matt,Brooklyn,Fort Greene,40,-73,Private room,2019-06-22,2,42,33.333333333333336,566.84,False
15871,12835123,1 Bedroom Located in Trendy Williamsburg,70065232,Ramon,Brooklyn,Williamsburg,40,-73,Entire home/apt,2018-04-23,1,0,19.8,0.07,False
15872,12835664,"New 3BR, 2 Full Bath with Washer & Dryer",70058270,Lucy,Brooklyn,Crown Heights,40,-73,Entire home/apt,2018-07-24,4,259,100.0,40.17,False
15873,12836932,Spacious Private room near Columbia,70082670,Gina,Manhattan,Morningside Heights,40,-73,Entire home/apt,2016-05-09,1,0,92.0,0.1,False
15875,12845862,Upper East Side Private Room and Bath: A+ location,7443904,Mohammad,Manhattan,Upper East Side,40,-73,Private room,2017-06-29,1,0,33.333333333333336,1.68,False
15876,12845943,Fully Furnished Room in Quiet Apt,51663418,Melissa,Queens,Ditmars Steinway,40,-73,Private room,2016-08-10,1,0,2.857142857142857,0.03,False
15878,12846048,"PRIME LOCATION, PARK SLOPE -BKLYN: 4BR FAMILY TYPE",23144316,Anna,Brooklyn,Park Slope,40,-73,Entire home/apt,2018-08-20,1,46,13.076923076923077,0.44,False
15880,12846584,1 bed room rail road apartment,70164336,Michael,Brooklyn,Greenpoint,40,-73,Entire home/apt,2017-03-31,1,0,3.6333333333333333,2.34,False
15881,12847429,Spacious 2 BR in Midtown,61391963,Corporate Housing,Manhattan,Hell's Kitchen,40,-73,Entire home/apt,2019-05-31,91,126,5.0,1.92,False
15882,12847720,"Prime location, close to everything. Females only",10737943,David,Manhattan,Upper West Side,40,-73,Private room,2016-12-02,10,365,1.6666666666666667,0.27,False
15883,12847902,Beautiful modern home!,46938101,Mario,Bronx,Concourse,40,-73,Private room,2019-06-21,1,348,49.0,28.71,False
15884,12848383,Lovely Brooklyn Duplex near Prospect Park 3BR,70181422,Chris And Zaneta,Brooklyn,Windsor Terrace,40,-73,Entire home/apt,2017-01-02,4,0,132.5,1.68,False
15886,12850887,Zen-like Room with Exposed Brick in East Bushwick,64062688,Leanna,Brooklyn,East New York,40,-73,Private room,2016-09-11,1,0,14.666666666666666,0.44,False
15887,12850911,Huge Room in Stunning Pre-war NY Loft,44351733,Tana,Manhattan,Tribeca,40,-74,Private room,2018-12-21,1,3,65.0,12.76,False
15888,12851015,Midtown East XL 1 BR,61391963,Corporate Housing,Manhattan,Midtown,40,-73,Entire home/apt,2019-06-01,91,342,4.433333333333334,0.30000000000000004,False
15889,12851100,New studio apartment 4mins from subway in Astoria,3248699,Snezhana,Queens,Ditmars Steinway,40,-73,Entire home/apt,2019-05-20,1,0,11.428571428571429,6.1499999999999995,False
15890,12851307,Private Room in Williamsburg Duplex,70208173,Mark,Brooklyn,Williamsburg,40,-73,Private room,2016-06-02,1,365,28.571428571428573,0.96,False
15891,12851607,Studio Apartment near Columbia U,68322243,Christopher,Manhattan,Upper West Side,40,-73,Entire home/apt,2016-08-26,1,0,38.5,0.24,False
15892,12852083,Boerum Hill Beautiful Spacious Two Bedrooms Apt.,700224,Shane & Nicole,Brooklyn,Gowanus,40,-73,Entire home/apt,2019-05-04,4,326,5.172413793103448,2.43,False
15894,12853281,Brand New Luxurious Studio Midtown,61391963,Corporate Housing,Manhattan,Midtown,40,-73,Entire home/apt,2019-05-12,91,149,4.166666666666667,1.61,False
15895,12853330,COZY HARLEM ROOM BY THE WATER - CREATIVE SPACE,31237380,Keith,Manhattan,Harlem,40,-73,Private room,2016-06-26,1,0,30.0,0.03,False
15897,12854724,Great Modern Studio in Chelsea!,49622928,Oxana,Manhattan,Chelsea,40,-73,Entire home/apt,2019-06-23,1,317,75.0,604.5600000000001,False
